,ADIG,AVAG,AQUE,ACAL,BPLA,BGLA,BFLO,CELE,CTEL,CFAR,CINT,CGIG,CVIR,DRER,DPUL,DMEL,EMUL,EPAL,HROB,HSAP,LLUY,LANA,LGIG,MLIG,MYES,MLEI,MPHI,NGEN,OBIM,PYES,PAUS,SKOW,SMAN,SMED,SPUR,TKIT,TADH,Total
OG0000109,0,1,0,28,47,58,4,1,1,24,0,63,74,0,0,0,0,2,0,0,3,3,19,0,54,0,60,2,51,20,0,2,0,0,11,0,2,530
OG0000110,1,30,0,13,19,41,12,3,16,15,19,31,38,19,12,2,3,3,7,6,19,65,6,16,25,0,13,12,3,15,18,1,9,10,18,2,0,522
OG0000111,10,42,12,13,12,35,11,9,8,8,7,21,28,19,4,15,1,10,9,12,31,23,7,41,18,8,18,17,6,10,10,11,4,10,14,2,5,521
OG0000112,14,10,0,11,19,26,0,10,12,17,0,32,20,33,3,7,4,21,10,4,13,35,12,13,30,2,26,29,21,14,19,1,7,42,3,0,1,521
OG0000113,0,17,0,20,10,19,1,36,77,10,0,15,21,3,5,11,9,0,26,2,37,77,11,0,20,0,10,32,11,8,11,2,6,12,0,0,0,519
OG0000114,15,4,21,28,6,11,29,2,34,21,5,16,22,7,1,7,0,17,0,3,5,31,13,0,18,23,18,23,3,14,14,74,0,0,26,2,0,513
OG0000115,12,31,0,11,10,48,12,6,6,9,10,41,24,41,2,9,3,5,5,7,33,15,6,27,21,12,6,13,10,10,3,14,5,22,17,0,5,511
OG0000116,17,14,7,14,10,32,12,8,12,10,11,20,20,51,15,10,5,14,14,23,12,22,12,15,20,5,11,13,16,10,11,13,5,9,8,2,8,511
OG0000117,23,0,0,27,7,8,24,0,61,26,9,19,22,13,8,3,0,10,0,7,10,27,11,0,33,20,15,10,1,26,10,44,0,0,25,0,0,499
OG0000118,9,13,12,17,15,22,23,5,20,19,5,26,34,13,6,8,2,9,4,3,19,34,7,13,25,2,27,14,15,20,8,8,8,6,22,0,4,497
OG0000119,6,22,4,12,19,15,18,10,15,10,8,9,5,14,8,5,10,12,4,10,9,15,39,35,14,15,21,1,19,11,10,22,6,29,24,2,8,496
OG0000120,5,0,0,14,25,33,15,3,10,11,4,20,28,53,4,12,3,12,16,12,20,29,20,9,20,2,32,13,11,8,11,8,1,11,17,0,3,495
OG0000121,7,4,1,3,25,4,17,0,96,0,1,3,20,0,0,0,0,9,44,1,3,9,3,129,2,0,13,2,7,1,29,1,0,0,56,2,0,492
OG0000122,34,5,4,1,56,0,3,0,7,9,1,17,31,2,0,0,0,3,3,3,50,25,5,0,9,0,32,87,1,4,2,32,0,12,16,36,0,490
OG0000123,29,0,0,1,38,0,22,0,11,1,0,0,0,0,14,0,0,12,6,0,163,0,14,0,0,3,4,146,0,1,16,2,0,0,6,0,0,489
OG0000124,46,47,34,4,6,8,31,0,4,15,7,12,26,14,0,1,0,20,3,5,22,17,2,5,26,0,6,7,4,11,7,33,1,57,5,0,2,488
OG0000125,11,1,0,18,6,20,33,0,26,0,1,20,11,0,1,0,0,13,24,0,17,7,3,0,3,61,39,19,49,0,1,32,4,1,59,4,0,484
OG0000126,6,19,2,6,6,22,10,12,5,6,5,40,50,55,8,31,6,10,7,12,6,12,5,28,21,4,6,7,19,4,5,4,4,18,6,13,3,483
